DEPTH	SP	GR	CALI	BitSize	LL8	ILM	ILD	RHOB	NPHI	DT	PHIX	RHOMAT	MBVI	MPHI
4183	-27.125	79.01	10.488	10	0.978	0.924	0.897	2.376	0.32869	40	0.2927455	2.90416	-999.25	-999.25
4183.5	-26.4272	80.7033	10.4178	10	1.087	0.9275	0.8968	2.387	0.34221	40	0.2800366	2.887591	-999.25	-999.25
4184	-26.063	80.4	10.472	10	1.082	0.925	0.891	2.397	0.33391	40	0.275434	2.890037	-999.25	-999.25
4184.5	-25.2188	85.6585	10.4287	10	0.9858	0.9098	0.8758	2.3898	0.320647	40	0.2775036	2.885199	-999.25	-999.25
4185	-24.438	85.916	10.362	10	0.93	0.894	0.86	2.374	0.30613	40	0.2845778	2.880767	-999.25	-999.25
4185.5	-23.1775	81.8798	10.5258	10	0.8858	0.8615	0.8343	2.3257	0.306295	40	0.2940855	2.836329	-999.25	-999.25
4186	-22.5	76.834	10.54	10	0.81	0.834	0.816	2.299	0.31527	40	0.3026638	2.8194	-999.25	-999.25
4186.5	-23.313	69.4185	10.4888	10	0.7277	0.7937	0.7883	2.2837	0.350328	40	0.3155565	2.829434	-999.25	-999.25
4187	-22.688	70.771	10.493	10	0.681	0.767	0.77	2.282	0.35942	40	0.3103622	2.813943	-999.25	-999.25
4187.5	-23.0625	72.7287	10.5433	10	0.6743	0.7393	0.7483	2.2957	0.360377	40	0.308525	2.829202	-999.25	-999.25
4188	-22.75	76.462	10.59	10	0.666	0.726	0.735	2.299	0.35306	40	0.3082044	2.833171	-999.25	-999.25
4188.5	-22.2397	77.2208	10.6542	10	0.669	0.7163	0.7218	2.2927	0.35438	40	0.308717	2.825343	-999.25	-999.25
4189	-22.813	78.835	10.67	10	0.669	0.713	0.716	2.281	0.36203	40	0.3187735	2.833638	-999.25	-999.25
4189.5	-22.448	84.0795	10.617	10	0.6663	0.712	0.712	2.2683	0.35375	40	0.3196332	2.817162	-999.25	-999.25
4190	-24.063	85.477	10.632	10	0.653	0.712	0.712	2.265	0.3655	40	0.3250234	2.825986	-999.25	-999.25
4190.5	-24.3858	82.4195	10.53	10	0.6437	0.7145	0.7133	2.2642	0.375842	40	0.3384567	2.859824	-999.25	-999.25
4191	-24.125	77.172	10.445	10	0.657	0.717	0.715	2.27	0.38035	40	0.3399611	2.872623	-999.25	-999.25
4191.5	-24.4275	75.628	10.4898	10	0.6665	0.7242	0.7195	2.2755	0.38491	40	0.3377947	2.875129	-999.25	-999.25
4192	-23.125	76.898	10.514	10	0.689	0.73	0.722	2.283	0.38096	40	0.3352248	2.879549	-999.25	-999.25
4192.5	-23.6875	81.4748	10.43	10	0.7423	0.7392	0.7255	2.2937	0.404385	40	0.3387951	2.905341	-999.25	-999.25
4193	-22.125	85.309	10.33	10	0.719	0.745	0.728	2.292	0.40176	40	0.3388969	2.903047	-999.25	-999.25
4193.5	-22.938	82.8617	10.3277	10	0.691	0.7503	0.733	2.2965	0.397938	40	0.3384164	2.908539	-999.25	-999.25
4194	-25.438	82.13	10.281	10	0.716	0.752	0.738	2.309	0.37243	40	0.3139708	2.862316	-999.25	-999.25
4194.5	-26.4588	75.8193	10.2803	10	0.8103	0.7532	0.7422	2.3322	0.358338	40	0.3051827	2.873416	-999.25	-999.25
4195	-29.063	72.726	10.297	10	0.872	0.754	0.743	2.343	0.34873	40	0.2997788	2.875153	-999.25	-999.25
4195.5	-29.1563	70.4607	10.3342	10	0.877	0.7527	0.7427	2.3317	0.36431	40	0.3048387	2.871819	-999.25	-999.25
4196	-27.438	70.764	10.355	10	0.837	0.751	0.741	2.315	0.36761	40	0.3112776	2.864136	-999.25	-999.25
4196.5	-24.1875	75.081	10.3193	10	0.752	0.7463	0.7405	2.2913	0.375042	40	0.3314882	2.882018	-999.25	-999.25
4197	-22	74.476	10.351	10	0.697	0.743	0.743	2.288	0.37095	40	0.3212933	2.850388	-999.25	-999.25
4197.5	-21.74	73.9633	10.3512	10	0.6958	0.741	0.744	2.2863	0.372622	40	0.3219688	2.849625	-999.25	-999.25
4198	-22	73.055	10.392	10	0.71	0.741	0.744	2.278	0.37573	40	0.333442	2.867288	-999.25	-999.25
4198.5	-21.3542	72.0895	10.5977	10	0.7192	0.7423	0.7438	2.2663	0.372618	40	0.3280042	2.835576	-999.25	-999.25
4199	-22.5	73.922	10.461	10	0.705	0.744	0.743	2.263	0.36926	40	0.3267552	2.827455	-999.25	-999.25
4199.5	-22.99	81.3288	10.5153	10	0.6773	0.7453	0.7445	2.2637	0.382327	40	0.3410344	2.86595	-999.25	-999.25
4200	-23.875	85.668	10.622	10	0.679	0.747	0.747	2.262	0.39511	40	0.3525027	2.894602	-999.25	-999.25
4200.5	-24.6983	87.3525	10.6332	10	0.6998	0.7493	0.7503	2.267	0.416633	40	0.3488733	2.892278	-999.25	-999.25
4201	-24.125	82.71	10.644	10	0.694	0.751	0.752	2.277	0.42005	40	0.3437999	2.89366	-999.25	-999.25
